Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,170.7,-38.8,-90.0,top
C2,22pF,C_0402_1005Metric,129.5625,-49.050001,-90.0,top
C3,22pF,C_0402_1005Metric,131.312501,-51.799999,180.0,top
C4,1uF,C_0402_1005Metric,167.95,-41.95,180.0,top
C5,100nF,C_0402_1005Metric,152.0,-31.45,180.0,top
C6,100nF,C_0402_1005Metric,151.6,-49.15,0.0,top
C7,100nF,C_0402_1005Metric,136.037499,-52.800001,180.0,top
C8,1uF,C_0402_1005Metric,149.3,-54.5,0.0,top
C9,100nF,C_0402_1005Metric,136.05,-51.75,180.0,top
C10,1uF,C_0402_1005Metric,149.3,-55.6,0.0,top
C11,100nF,C_0402_1005Metric,146.75,-56.9,-90.0,top
C12,100nF,C_0402_1005Metric,142.062501,-57.3,-90.0,top
C13,100nF,C_0402_1005Metric,142.062502,-44.3,90.0,top
C14,100nF,C_0402_1005Metric,146.55,-46.35,0.0,top
C15,100nF,C_0402_1005Metric,151.6,-50.2,0.0,top
C16,100nF,C_0402_1005Metric,145.7,-56.9,-90.0,top
C17,10uF,C_0805_2012Metric,168.2,-40.1,180.0,top
C18,100nF,C_0402_1005Metric,150.4,-27.85,0.0,top
C19,100nF,C_0402_1005Metric,133.6,-27.8,0.0,top
C20,100nF,C_0402_1005Metric,116.85,-27.85,0.0,top
C21,100nF,C_0402_1005Metric,100.1,-27.8,0.0,top
C22,100nF,C_0402_1005Metric,83.3,-27.8,0.0,top
C23,100nF,C_0402_1005Metric,66.5,-27.8,0.0,top
C24,100nF,C_0402_1005Metric,52.1,-30.45,51.0,top
C25,100nF,C_0402_1005Metric,50.1,-45.45,90.0,top
C26,100nF,C_0402_1005Metric,50.15,-62.25,90.0,top
C27,100nF,C_0402_1005Metric,50.1,-79.05,90.0,top
C28,100nF,C_0402_1005Metric,50.15,-95.8,90.0,top
C29,100nF,C_0402_1005Metric,50.05,-112.6,90.0,top
C30,100nF,C_0402_1005Metric,50.15,-129.4,90.0,top
C31,100nF,C_0402_1005Metric,54.8,-141.85,157.0,top
C32,100nF,C_0402_1005Metric,70.5,-143.0,180.0,top
C33,100nF,C_0402_1005Metric,87.3,-142.95,180.0,top
C34,100nF,C_0402_1005Metric,104.1,-142.95,180.0,top
C35,100nF,C_0402_1005Metric,120.9,-142.95,180.0,top
C36,100nF,C_0402_1005Metric,137.65,-142.95,180.0,top
C37,100nF,C_0402_1005Metric,154.45,-142.95,180.0,top
C38,100nF,C_0402_1005Metric,171.25,-142.9,180.0,top
C39,100nF,C_0402_1005Metric,188.05,-142.95,180.0,top
C40,100nF,C_0402_1005Metric,204.8,-142.95,180.0,top
C41,100nF,C_0402_1005Metric,221.6,-142.95,180.0,top
C42,100nF,C_0402_1005Metric,238.4,-142.95,180.0,top
C43,100nF,C_0402_1005Metric,255.15,-142.95,180.0,top
C44,100nF,C_0402_1005Metric,270.85,-142.15,-150.0,top
C45,100nF,C_0402_1005Metric,275.15,-129.05,-90.0,top
C46,100nF,C_0402_1005Metric,275.15,-112.25,-90.0,top
C47,100nF,C_0402_1005Metric,275.15,-95.45,-90.0,top
C48,100nF,C_0402_1005Metric,275.15,-78.7,-90.0,top
C49,100nF,C_0402_1005Metric,275.15,-61.9,-90.0,top
C50,100nF,C_0402_1005Metric,275.15,-45.1,-90.0,top
C51,100nF,C_0402_1005Metric,273.05,-30.3,-44.0,top
C52,100nF,C_0402_1005Metric,258.55,-27.9,0.0,top
C53,100nF,C_0402_1005Metric,241.75,-27.9,0.0,top
C54,100nF,C_0402_1005Metric,224.95,-27.9,0.0,top
C55,100nF,C_0402_1005Metric,208.15,-27.9,0.0,top
C56,100nF,C_0402_1005Metric,191.4,-27.85,0.0,top
C57,100nF,C_0402_1005Metric,174.6,-27.85,0.0,top
C58,100nF,C_0402_1005Metric,150.4,-29.0,180.0,top
D1,1N4148,D_SOD-123,93.5,-56.5,-90.0,top
D2,1N4148,D_SOD-123,123.0,-56.0,-90.0,top
D3,1N4148,D_SOD-123,149.5,-69.0,-90.0,top
D4,1N4148,D_SOD-123,150.5,-117.0,0.0,top
D5,1N4148,D_SOD-123,158.0,-57.5,-90.0,top
D6,1N4148,D_SOD-123,185.0,-46.0,-90.0,top
D7,1N4148,D_SOD-123,214.5,-46.5,-90.0,top
D8,1N4148,D_SOD-123,244.0,-49.0,-90.0,top
D9,1N4148,D_SOD-123,155.5,-86.5,-90.0,top
D10,1N4148,D_SOD-123,183.5,-75.5,-90.0,top
D11,1N4148,D_SOD-123,214.5,-75.0,-90.0,top
D12,1N4148,D_SOD-123,243.9,-80.15,90.0,top
D13,WS2812C-2020,LED_WS2812-2020,149.946788,-25.9,0.0,top
D14,WS2812C-2020,LED_WS2812-2020,48.178419,-96.285463,90.0,top
D15,WS2812C-2020,LED_WS2812-2020,171.717713,-144.9,180.0,top
D16,WS2812C-2020,LED_WS2812-2020,277.178419,-78.206874,-90.0,top
D17,WS2812C-2020,LED_WS2812-2020,133.160608,-25.9,0.0,top
D18,WS2812C-2020,LED_WS2812-2020,48.178419,-113.071642,90.0,top
D19,WS2812C-2020,LED_WS2812-2020,188.503893,-144.9,180.0,top
D20,WS2812C-2020,LED_WS2812-2020,277.178419,-61.420695,-90.0,top
D21,WS2812C-2020,LED_WS2812-2020,116.374429,-25.9,0.0,top
D22,WS2812C-2020,LED_WS2812-2020,48.178419,-129.857822,90.0,top
D23,WS2812C-2020,LED_WS2812-2020,205.290072,-144.9,180.0,top
D24,WS2812C-2020,LED_WS2812-2020,277.178419,-44.634515,-90.0,top
D25,WS2812C-2020,LED_WS2812-2020,99.588249,-25.9,0.0,top
D26,WS2812C-2020,LED_WS2812-2020,54.5,-143.78,157.0,top
D27,WS2812C-2020,LED_WS2812-2020,222.076252,-144.9,180.0,top
D28,WS2812C-2020,LED_WS2812-2020,274.1,-28.69,-44.0,top
D29,WS2812C-2020,LED_WS2812-2020,82.80207,-25.9,0.0,top
D30,WS2812C-2020,LED_WS2812-2020,71.000636,-144.9,180.0,top
D31,WS2812C-2020,LED_WS2812-2020,238.862431,-144.9,180.0,top
D32,WS2812C-2020,LED_WS2812-2020,258.048538,-25.9,0.0,top
D33,WS2812C-2020,LED_WS2812-2020,66.01589,-25.9,0.0,top
D34,WS2812C-2020,LED_WS2812-2020,87.786816,-144.9,180.0,top
D35,WS2812C-2020,LED_WS2812-2020,255.648611,-144.9,180.0,top
D36,WS2812C-2020,LED_WS2812-2020,241.262359,-25.9,0.0,top
D37,WS2812C-2020,LED_WS2812-2020,50.38,-29.64,51.0,top
D38,WS2812C-2020,LED_WS2812-2020,104.572995,-144.9,180.0,top
D39,WS2812C-2020,LED_WS2812-2020,272.195604,-143.53,-150.0,top
D40,WS2812C-2020,LED_WS2812-2020,224.476179,-25.9,0.0,top
D41,WS2812C-2020,LED_WS2812-2020,48.178419,-45.926924,90.0,top
D42,WS2812C-2020,LED_WS2812-2020,121.359175,-144.9,180.0,top
D43,WS2812C-2020,LED_WS2812-2020,277.178419,-128.565413,-90.0,top
D44,WS2812C-2020,LED_WS2812-2020,207.69,-25.9,0.0,top
D45,WS2812C-2020,LED_WS2812-2020,48.178419,-62.713104,90.0,top
D46,WS2812C-2020,LED_WS2812-2020,138.145354,-144.9,180.0,top
D47,WS2812C-2020,LED_WS2812-2020,277.178419,-111.779233,-90.0,top
D48,WS2812C-2020,LED_WS2812-2020,190.90382,-25.9,0.0,top
D49,WS2812C-2020,LED_WS2812-2020,48.178419,-79.499283,90.0,top
D50,WS2812C-2020,LED_WS2812-2020,154.931534,-144.9,180.0,top
D51,WS2812C-2020,LED_WS2812-2020,277.178419,-94.993054,-90.0,top
D52,WS2812C-2020,LED_WS2812-2020,174.117641,-25.9,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,162.668419,-21.05,180.0,top
R1,1k,C_0402_1005Metric,145.35,-31.45,180.0,top
R3,27.4,C_0603_1608Metric,150.812502,-51.48,180.0,top
R4,27.4,C_0603_1608Metric,150.8125,-53.200001,180.0,top
R5,1k,C_0402_1005Metric,133.562502,-51.8,180.0,top
R6,5.1k,C_0402_1005Metric,169.35,-28.55,-90.0,top
R7,5.1k,C_0402_1005Metric,159.7,-30.85,0.0,top
R8,10k,C_0402_1005Metric,136.1,-55.1,90.0,top
S1,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,86.15,-34.35,0.0,top
TH1,Thermistor_PTC,Fuse_1206_3216Metric,167.4,-32.3,-90.0,top
U1,XC6206PxxxMR,SOT-23,168.2,-37.05,90.0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,149.1,-35.2,0.0,top
U3,RP2040,RP2040-QFN-56,143.0625,-51.200001,-90.0,top
U4,SRV05-4,SOT-23-6-routable,163.17,-32.02,0.0,top
U5,74AHCT1G125,SOT-23-5,154.35,-28.25,90.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,132.0625,-49.050001,90.0,top
