Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",170.700000,-38.800000,-90.000000,top
"C2","22pF","C_0402_1005Metric",129.562500,-49.050001,-90.000000,top
"C3","22pF","C_0402_1005Metric",131.312501,-51.799999,180.000000,top
"C4","1uF","C_0402_1005Metric",168.250000,-39.600000,180.000000,top
"C5","100nF","C_0402_1005Metric",152.000000,-31.450000,180.000000,top
"C6","100nF","C_0402_1005Metric",151.600000,-49.150000,0.000000,top
"C7","100nF","C_0402_1005Metric",136.037499,-52.800001,180.000000,top
"C8","1uF","C_0402_1005Metric",149.300000,-54.500000,0.000000,top
"C9","100nF","C_0402_1005Metric",136.050000,-51.750000,180.000000,top
"C10","1uF","C_0402_1005Metric",149.300000,-55.600000,0.000000,top
"C11","100nF","C_0402_1005Metric",146.750000,-56.900000,-90.000000,top
"C12","100nF","C_0402_1005Metric",142.062501,-57.300000,-90.000000,top
"C13","100nF","C_0402_1005Metric",142.062502,-44.300000,90.000000,top
"C14","100nF","C_0402_1005Metric",146.550000,-46.350000,0.000000,top
"C15","100nF","C_0402_1005Metric",151.600000,-50.200000,0.000000,top
"C16","100nF","C_0402_1005Metric",145.700000,-56.900000,-90.000000,top
"C17","10uF","C_0402_1005Metric",168.250000,-40.700000,180.000000,top
"C18","100nF","C_0402_1005Metric",150.400000,-27.850000,0.000000,top
"C19","100nF","C_0402_1005Metric",133.600000,-27.800000,0.000000,top
"C20","100nF","C_0402_1005Metric",116.850000,-27.850000,0.000000,top
"C21","100nF","C_0402_1005Metric",100.100000,-27.800000,0.000000,top
"C22","100nF","C_0402_1005Metric",83.300000,-27.800000,0.000000,top
"C23","100nF","C_0402_1005Metric",66.500000,-27.800000,0.000000,top
"C24","100nF","C_0402_1005Metric",52.100000,-30.450000,51.000000,top
"C25","100nF","C_0402_1005Metric",50.100000,-45.450000,90.000000,top
"C26","100nF","C_0402_1005Metric",50.150000,-62.250000,90.000000,top
"C27","100nF","C_0402_1005Metric",50.100000,-79.050000,90.000000,top
"C28","100nF","C_0402_1005Metric",50.150000,-95.800000,90.000000,top
"C29","100nF","C_0402_1005Metric",50.050000,-112.600000,90.000000,top
"C30","100nF","C_0402_1005Metric",50.150000,-129.400000,90.000000,top
"C31","100nF","C_0402_1005Metric",54.800000,-141.850000,157.000000,top
"C32","100nF","C_0402_1005Metric",70.500000,-143.000000,180.000000,top
"C33","100nF","C_0402_1005Metric",87.300000,-142.950000,180.000000,top
"C34","100nF","C_0402_1005Metric",104.100000,-142.950000,180.000000,top
"C35","100nF","C_0402_1005Metric",120.900000,-142.950000,180.000000,top
"C36","100nF","C_0402_1005Metric",137.650000,-142.950000,180.000000,top
"C37","100nF","C_0402_1005Metric",154.450000,-142.950000,180.000000,top
"C38","100nF","C_0402_1005Metric",171.250000,-142.900000,180.000000,top
"C39","100nF","C_0402_1005Metric",188.050000,-142.950000,180.000000,top
"C40","100nF","C_0402_1005Metric",204.800000,-142.950000,180.000000,top
"C41","100nF","C_0402_1005Metric",221.600000,-142.950000,180.000000,top
"C42","100nF","C_0402_1005Metric",238.400000,-142.950000,180.000000,top
"C43","100nF","C_0402_1005Metric",255.150000,-142.950000,180.000000,top
"C44","100nF","C_0402_1005Metric",270.850000,-142.150000,-150.000000,top
"C45","100nF","C_0402_1005Metric",275.150000,-129.050000,-90.000000,top
"C46","100nF","C_0402_1005Metric",275.150000,-112.250000,-90.000000,top
"C47","100nF","C_0402_1005Metric",275.150000,-95.450000,-90.000000,top
"C48","100nF","C_0402_1005Metric",275.150000,-78.700000,-90.000000,top
"C49","100nF","C_0402_1005Metric",275.150000,-61.900000,-90.000000,top
"C50","100nF","C_0402_1005Metric",275.150000,-45.100000,-90.000000,top
"C51","100nF","C_0402_1005Metric",273.050000,-30.300000,-44.000000,top
"C52","100nF","C_0402_1005Metric",258.550000,-27.900000,0.000000,top
"C53","100nF","C_0402_1005Metric",241.750000,-27.900000,0.000000,top
"C54","100nF","C_0402_1005Metric",224.950000,-27.900000,0.000000,top
"C55","100nF","C_0402_1005Metric",208.150000,-27.900000,0.000000,top
"C56","100nF","C_0402_1005Metric",191.400000,-27.850000,0.000000,top
"C57","100nF","C_0402_1005Metric",174.600000,-27.850000,0.000000,top
"C58","100nF","C_0402_1005Metric",150.400000,-29.000000,180.000000,top
"D1","1N4148","D_SOD-123",93.500000,-56.500000,-90.000000,top
"D2","1N4148","D_SOD-123",123.000000,-56.000000,-90.000000,top
"D3","1N4148","D_SOD-123",149.500000,-69.000000,-90.000000,top
"D4","1N4148","D_SOD-123",150.500000,-117.000000,0.000000,top
"D5","1N4148","D_SOD-123",158.000000,-57.500000,-90.000000,top
"D6","1N4148","D_SOD-123",185.000000,-46.000000,-90.000000,top
"D7","1N4148","D_SOD-123",214.500000,-46.500000,-90.000000,top
"D8","1N4148","D_SOD-123",244.000000,-49.000000,-90.000000,top
"D9","1N4148","D_SOD-123",155.500000,-86.500000,-90.000000,top
"D10","1N4148","D_SOD-123",183.500000,-75.500000,-90.000000,top
"D11","1N4148","D_SOD-123",214.500000,-75.000000,-90.000000,top
"D12","1N4148","D_SOD-123",243.900000,-80.150000,90.000000,top
"D13","WS2812C-2020","LED_WS2812-2020",149.946788,-25.900000,0.000000,top
"D14","WS2812C-2020","LED_WS2812-2020",48.178419,-96.285463,90.000000,top
"D15","WS2812C-2020","LED_WS2812-2020",171.717713,-144.900000,180.000000,top
"D16","WS2812C-2020","LED_WS2812-2020",277.178419,-78.206874,-90.000000,top
"D17","WS2812C-2020","LED_WS2812-2020",133.160608,-25.900000,0.000000,top
"D18","WS2812C-2020","LED_WS2812-2020",48.178419,-113.071642,90.000000,top
